time,coin,dir,px,sz,ntl,fee,closedPnl
19/07/2024 - 14:37:18,WLD,Close Short,2.611,191.4,499.7454000000001,0.024987,-4.641555
19/07/2024 - 14:37:18,kSHIB,Close Short,0.01725,208629,3598.8502500000004,0.179942,-34.395098
19/07/2024 - 14:37:18,kSHIB,Close Short,0.01725,72798,1255.7655000000002,0.062788,-12.00166
19/07/2024 - 14:37:19,WLD,Close Short,2.611,519.7,1356.9367000000002,0.067846,-12.60301
19/07/2024 - 14:37:19,WLD,Close Short,2.611,175.8,459.01380000000006,0.02295,-4.263246
19/07/2024 - 14:37:19,WLD,Close Short,2.611,39.4,102.8734,0.005143,-0.955471
19/07/2024 - 14:37:19,WLD,Close Short,2.611,686.4,1792.1904000000002,0.089609,-16.645577
19/07/2024 - 14:37:19,WLD,Close Short,2.611,3063.9,7999.842900000001,0.399992,-74.30126
19/07/2024 - 14:37:20,WLD,Close Short,2.611,191.4,499.7454000000001,0.024987,-4.641555
19/07/2024 - 14:37:20,WLD,Close Short,2.611,9190.5,23996.395500000002,1.199818,-222.874678
